Decile,Customers,Revenue,Transactions,CustomerShare,RevenueShare,TxnShare,CumulativeRevenueShare,AvgRevenuePerCustomer
1,434,5461374.89,7211,0.1000461041954818,0.6145208192064806,0.38911072739045977,0.6145208192064806,12583.813110599078
2,434,1175925.931,2981,0.1000461041954818,0.13231667501299538,0.16085689617958127,0.746837494219476,2709.5067534562213
3,434,725127.48,2102,0.1000461041954818,0.0815922623906763,0.11342542628966112,0.8284297566101523,1670.8006451612903
4,433,488333.43,1591,0.09981558321807285,0.05494789599574816,0.08585150010792143,0.8833776526059004,1127.790831408776
5,434,342574.001,1240,0.1000461041954818,0.038546860446960034,0.06691128858191236,0.9219245130528604,789.3410161290323
6,434,251431.681,980,0.1000461041954818,0.028291411172944127,0.0528815022663501,0.9502159242258045,579.3356705069125
7,433,178600.621,742,0.09981558321807285,0.020096368064508784,0.040038851715950785,0.9703122922903132,412.4725658198615
8,434,131402.69,639,0.1000461041954818,0.014785597094349115,0.03448089790632419,0.9850978893846624,302.77117511520737
9,434,86535.09,557,0.1000461041954818,0.009737037919568002,0.03005611914526225,0.9948349273042304,199.38960829493087
10,434,45903.08,489,0.1000461041954818,0.005165072695769584,0.02638679041657673,1.0,105.76746543778802
