CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,Recency,TenureDays,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Score,Segment,Decile
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,326,0,77183.6,1,4,1,6,At Risk,1
12347,2011-12-07 15:52:00,2010-12-07 14:57:00,7,4310.0,2,365,615.7142857142857,5,1,1,7,New / Promising,1
12348,2011-09-25 13:13:00,2010-12-16 19:09:00,4,1797.24,75,282,449.31,2,2,2,6,Lost / Low Value,3
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,19,0,1757.55,4,4,2,10,Loyal,3
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,310,0,334.4,1,4,4,9,Can't Lose Them,8
12352,2011-11-03 14:37:00,2011-02-16 12:33:00,8,2506.04,36,260,313.255,3,1,1,5,Needs Attention,2
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,204,0,89.0,1,4,5,10,Can't Lose Them,10
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,232,0,1079.4,1,4,2,7,At Risk,4
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,214,0,459.4,1,4,4,9,Can't Lose Them,7
12356,2011-11-17 08:40:00,2011-01-18 09:50:00,3,2811.43,23,302,937.1433333333333,4,2,1,7,New / Promising,2
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,33,0,6207.67,4,4,1,9,Loyal,1
12358,2011-12-08 10:26:00,2011-07-12 10:04:00,2,1168.06,2,149,584.03,5,3,2,10,Needs Attention,4
12359,2011-10-13 12:47:00,2011-01-12 12:43:00,4,6310.03,58,274,1577.5075,3,2,1,6,Needs Attention,1
12360,2011-10-18 15:22:00,2011-05-23 09:43:00,3,2662.06,52,148,887.3533333333334,3,2,1,6,Needs Attention,2
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,287,0,189.9,1,4,5,10,Can't Lose Them,9
12362,2011-12-06 15:40:00,2011-02-17 10:30:00,10,5226.23,3,292,522.6229999999999,5,1,1,7,New / Promising,1
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,2,552.0,110,132,276.0,2,3,3,8,At Risk,6
12364,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1313.1,8,104,328.275,5,2,2,9,New / Promising,4
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,2,641.38,291,0,320.69,1,3,3,7,At Risk,6
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,4,0,168.9,5,4,5,14,Champions,9
12370,2011-10-19 14:51:00,2010-12-14 12:58:00,4,3541.94,51,309,885.485,3,2,1,6,Needs Attention,2
12371,2011-10-26 10:16:00,2011-10-11 10:43:00,2,1887.96,45,14,943.98,3,3,2,8,Needs Attention,3
